text,len,system
コンニチハ、コンニチハ「ロボットシエンジンブブンセツジョジュツ」ニツイテオハナシシマスネ,44,1
コノシュジュツハ、ジンゾウニデキタチイサナシュヨウ、ツマリジンガンノウタガイガアルバアイニオコナウモノデス,53,1
ジンゾウニハイマ、アクセイノカノウセイガアルシュヨウガミツカッテイテ、サイズトシテハ7cmイカデアルコトガワカッテイマス,60,1
コノシュジュツヲテイアンシタリユウハ、チイサナジンガンニタイシテハジンブブンセツジョジュツガヒョウジュンテキナチリョウホウトサレテイルカラデス,71,1
トクニロボットシエンノホウホウハホケンモテキヨウサレルノデ、アンシンシテウケラレルチリョウデス,47,1
ホカニモ、シュヨウヲトリノゾクホウホウハイクツカアリマスガ、ジンキノウヲナルベクノコスタメニハブブンセツジョガスイショウサレテイマス,66,1
シュジュツノナガレニツイテデスガ、マズオハラニカズカトコロチイサナキリコミヲイレテ、ナイシキョウヲツカエルヨウニシマス,59,1
ツギニ、ニサンカタンソヲチュウニュウシテオハラヲフクラマセ、ジンゾウヤニョウカンヲミヤスクシマス,48,1
ソノノチ、ロボットノウデヲツカッテシュヨウシュウヘンノセイジョウナソシキトトモニシュヨウヲテキシュツシマス,53,1
シュジュツハヤク3〜4ジカンホドカカリマス,21,1
シュジュツゴハイッパンビョウトウニモドリ、ヨクジツカラハスイブンヤショクジガハジマリマス,44,1
ホトンドノカタハ3〜4ニチデタイインデキルミコミデス,26,1
タダシ、シュジュツニハリスクモアリ、シュッケツヤホカノゾウキヘノソンショウ、カンセンショウナドノガッペイショウガオコルカノウセイガアリマスガ、コレラノリスクハヒジョウニヒククオサエラレテイマス,96,1
マタ、ナニカモンダイガオキタサイニハ、ジンソクニテキセツナタイショヲオコナイマス,40,1
シュジュツニドウイスルカドウカハアナタノジユウデスシ、イツデモソノケッテイヲテッカイデキマス,46,1
モシホカノセンモンイノイケンヲキキタイバアイハ、ソノサポートモデキマスノデ、キガルニソウダンシテクダサイ,52,1
キョウオハナシシタナイヨウニツイテシツモンガアレバ、ドウゾオキキクダサイ,36,1
