text,len,system
コンニチハ、コンニチハロボットシエンジンブブンセツジョジュツニツイテオハナシシマスネ,42,1
コノシュジュツハ、ジンゾウニデキタシュヨウヲトリノゾクタメノホウホウデス,36,1
マズ、アナタノビョウキニツイテデスガ、ジンガンノウタガイガアリ、ミギマタハヒダリノジンゾウニカズセンチノシュヨウガミツカッテイマス,65,1
コノシュヨウガアクセイデアルカノウセイガタカイトカンガエラレテイマス,34,1
コノシュジュツガテイアンサレタリユウハ、チイサナジンガン、ツマリ7センチイカノシュヨウニタイシテハ、ジンブブンセツジョジュツガヒョウジュンテキナチリョウホウトサレテイルカラデス,88,1
コンカイノシュジュツデハロボットヲツカウホウホウヲエラビマシタガ、コレハホケンガテキヨウサレルチリョウホウデス,55,1
ホカニモ、シュヨウノセイケンヤホウシャセンチリョウ、カガクリョウホウナドガアリマスガ、コレラハカナラズシモジンガンニタイシテユウコウトハイエマセン,73,1
シュジュツノホウホウトシテハ、マズオハラニチイサナキリクチヲイクツカツクリマス,39,1
ソノノチ、ニサンカタンソヲチュウニュウシテオハラヲフクラマセ、ジンゾウヤニョウカンヲミエルヨウニシマス,51,1
ロボットノウデヲツカッテジンゾウヲソウサシ、シュヨウヲトリノゾキマス,34,1
コノキワ、シュヨウノマワリニセイジョウナブブンモイッショニキリトリマス,35,1
シュジュツジカンハヤク3〜4ジカンデ、オワッタノチハビョウトウニモドリマス,37,1
シュジュツゴノケイカニツイテデスガ、ヨクジツカラハスイブンヤショクジヲカイシシ、デキルダケハヤクアルクコトガタイセツデス,60,1
ツウジョウ、シュジュツカラ3〜4ニチデタイインデキルミコミデス,31,1
タダシ、シュジュツニハイクツカノリスクモアリマス,24,1
タトエバ、シュッケツヤホカノゾウキヘノソンショウ、ニョウモレナドガカンガエラレマスガ、コレラノリスクハヒジョウニヒクイトサレテイマス,66,1
マタ、モシシュジュツヲウケナイバアイ、ホカノチリョウホウガカンガエラレマスガ、コンジテキナチリョウトシテハフジュウブンカモシレマセンノデ、ソノテンモゴリュウイクダサイ,83,1
サイゴニ、シュジュツニツイテノドウイハイツデモテッカイデキマスノデ、ナニカフアンナコトガアレバエンリョナクソウダンシテクダサイネ,64,1
